        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCN Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-07-25 11:37:22 ,          18.0   ,            933.0   ,           0.0   ,               52.0   ,          7   ,                        715   ,                      122   ,         1.018   ,               54.8   ,                  6977   ,
2024-07-25 11:37:23 ,           5.0   ,            933.0   ,           0.0   ,               51.0   ,          1   ,                        715   ,                      122   ,         0.906   ,               55.1   ,                  6972   ,
2024-07-25 11:37:24 ,           1.0   ,            400.0   ,           0.0   ,               52.0   ,          1   ,                        715   ,                      122   ,         0.712   ,               54.9   ,                  6977   ,
2024-07-25 11:37:25 ,           0.0   ,            933.0   ,           0.0   ,               52.0   ,          1   ,                        715   ,                      122   ,         0.743   ,               54.9   ,                  6978   ,
2024-07-25 11:37:26 ,          17.0   ,            933.0   ,           0.0   ,               51.0   ,          1   ,                        715   ,                      122   ,         0.887   ,               55.1   ,                  6983   ,
2024-07-25 11:37:27 ,          22.0   ,            400.0   ,           0.0   ,               52.0   ,          3   ,                        715   ,                      122   ,         0.718   ,               55.3   ,                  6991   ,
2024-07-25 11:37:28 ,           6.0   ,            400.0   ,           0.0   ,               51.0   ,          2   ,                        715   ,                      122   ,         0.712   ,               54.8   ,                  6990   ,
2024-07-25 11:37:29 ,           1.0   ,            400.0   ,           0.0   ,               52.0   ,          1   ,                        715   ,                      122   ,         0.712   ,               54.3   ,                  6989   ,
2024-07-25 11:37:30 ,          17.0   ,            400.0   ,           0.0   ,               52.0   ,          1   ,                        715   ,                      122   ,         0.906   ,               63.1   ,                  6916   ,
2024-07-25 11:37:31 ,          22.0   ,            933.0   ,           0.0   ,               52.0   ,          8   ,                        715   ,                      122   ,         0.881   ,               61.8   ,                  6920   ,
2024-07-25 11:37:32 ,         146.0   ,            933.0   ,           0.0   ,               51.0   ,          6   ,                        715   ,                      122   ,         0.906   ,               60.4   ,                  6921   ,
2024-07-25 11:37:33 ,          61.0   ,            933.0   ,           0.0   ,               52.0   ,          6   ,                        715   ,                      122   ,         1.156   ,               60.0   ,                  6922   ,
2024-07-25 11:37:34 ,          35.0   ,            933.0   ,           0.0   ,               52.0   ,          6   ,                        715   ,                      122   ,         1.050   ,               69.8   ,                  6919   ,
2024-07-25 11:37:35 ,          27.0   ,            933.0   ,           0.0   ,               52.0   ,          5   ,                        715   ,                      122   ,         0.906   ,               68.1   ,                  6923   ,
2024-07-25 11:37:36 ,          25.0   ,            933.0   ,           0.0   ,               52.0   ,          5   ,                        715   ,                      122   ,         1.156   ,               66.8   ,                  6922   ,
2024-07-25 11:37:37 ,           7.0   ,            933.0   ,           0.0   ,               52.0   ,          2   ,                        715   ,                      123   ,         1.168   ,               65.9   ,                  6924   ,
2024-07-25 11:37:38 ,          19.0   ,            400.0   ,           0.0   ,               54.0   ,          2   ,                        715   ,                      123   ,         0.718   ,               64.4   ,                  6921   ,
2024-07-25 11:37:39 ,           5.0   ,            400.0   ,           0.0   ,               53.0   ,          2   ,                        715   ,                      123   ,         0.875   ,               62.8   ,                  6921   ,
2024-07-25 11:37:40 ,           1.0   ,            400.0   ,           0.0   ,               52.0   ,          4   ,                        715   ,                      123   ,         0.712   ,               61.3   ,                  6921   ,
2024-07-25 11:37:41 ,          17.0   ,            933.0   ,           0.0   ,               52.0   ,          1   ,                        715   ,                      123   ,         0.712   ,               59.8   ,                  6920   ,
2024-07-25 11:37:42 ,           5.0   ,            933.0   ,           0.0   ,               52.0   ,          3   ,                        715   ,                      123   ,         0.712   ,               58.4   ,                  6921   ,
2024-07-25 11:37:43 ,           1.0   ,            933.0   ,           0.0   ,               52.0   ,          6   ,                        715   ,                      124   ,         0.981   ,               58.0   ,                  6932   ,
2024-07-25 11:37:44 ,           0.0   ,            400.0   ,           0.0   ,               52.0   ,          4   ,                        715   ,                      124   ,         0.712   ,               56.9   ,                  6933   ,
2024-07-25 11:37:45 ,           0.0   ,            933.0   ,           0.0   ,               51.0   ,          4   ,                        715   ,                      124   ,         0.712   ,               55.8   ,                  6928   ,
2024-07-25 11:37:46 ,           0.0   ,            400.0   ,           0.0   ,               51.0   ,          2   ,                        715   ,                       79   ,         0.712   ,               54.8   ,                  6928   ,
2024-07-25 11:37:47 ,           0.0   ,            400.0   ,           0.0   ,               51.0   ,          2   ,                        715   ,                       79   ,         0.737   ,               54.5   ,                  6928   ,
2024-07-25 11:37:48 ,           0.0   ,            400.0   ,           0.0   ,               52.0   ,          3   ,                        715   ,                       79   ,         0.712   ,               54.5   ,                  6928   ,
2024-07-25 11:37:49 ,           0.0   ,            400.0   ,           0.0   ,               51.0   ,          2   ,                        715   ,                       79   ,         0.743   ,               54.5   ,                  6928   ,
2024-07-25 11:37:50 ,          17.0   ,            933.0   ,           0.0   ,               51.0   ,          9   ,                        715   ,                       79   ,         0.906   ,               63.6   ,                  6929   ,
2024-07-25 11:37:51 ,          22.0   ,            933.0   ,           0.0   ,               51.0   ,          6   ,                        715   ,                       79   ,         1.112   ,               62.3   ,                  6927   ,
2024-07-25 11:37:52 ,          22.0   ,            933.0   ,           0.0   ,               51.0   ,          6   ,                        715   ,                       79   ,         1.112   ,               70.6   ,                  6930   ,
2024-07-25 11:37:53 ,         146.0   ,            933.0   ,           0.0   ,               52.0   ,          5   ,                        715   ,                       79   ,         1.112   ,               69.1   ,                  6929   ,
2024-07-25 11:37:54 ,          75.0   ,           1200.0   ,           0.0   ,               53.0   ,          6   ,                        715   ,                       79   ,         0.912   ,               67.6   ,                  6929   ,
2024-07-25 11:37:55 ,          39.0   ,           1200.0   ,           0.0   ,               52.0   ,          4   ,                        715   ,                       79   ,         1.012   ,               66.5   ,                  6924   ,
2024-07-25 11:37:56 ,          29.0   ,           1200.0   ,           0.0   ,               53.0   ,          3   ,                        715   ,                       79   ,         1.006   ,               65.1   ,                  6920   ,
2024-07-25 11:37:57 ,          26.0   ,            400.0   ,           0.0   ,               52.0   ,          8   ,                        743   ,                       89   ,         1.000   ,               63.5   ,                  6919   ,
2024-07-25 11:37:58 ,          39.0   ,           1200.0   ,           0.0   ,               53.0   ,          1   ,                        743   ,                       89   ,         0.925   ,               62.0   ,                  6919   ,
2024-07-25 11:37:59 ,          29.0   ,            400.0   ,           0.0   ,               53.0   ,          1   ,                        743   ,                       89   ,         1.200   ,               60.4   ,                  6918   ,
2024-07-25 11:38:00 ,          26.0   ,           1200.0   ,           0.0   ,               53.0   ,          3   ,                        743   ,                       88   ,         1.025   ,               58.9   ,                  6919   ,
2024-07-25 11:38:01 ,          39.0   ,           1200.0   ,           0.0   ,               52.0   ,          2   ,                        743   ,                       88   ,         0.912   ,               57.5   ,                  6919   ,
2024-07-25 11:38:02 ,          29.0   ,            400.0   ,           0.0   ,               52.0   ,          5   ,                        744   ,                       88   ,         1.137   ,               57.3   ,                  6915   ,
2024-07-25 11:38:03 ,          26.0   ,            400.0   ,           0.0   ,               52.0   ,          4   ,                        744   ,                       88   ,         1.025   ,               56.8   ,                  6917   ,
2024-07-25 11:38:04 ,          25.0   ,           1200.0   ,           0.0   ,               53.0   ,          1   ,                        744   ,                       88   ,         1.006   ,               56.5   ,                  6911   ,
2024-07-25 11:38:05 ,          24.0   ,            400.0   ,           0.0   ,               52.0   ,          1   ,                        744   ,                       88   ,         1.043   ,               56.3   ,                  6917   ,
2024-07-25 11:38:06 ,          24.0   ,            400.0   ,           0.0   ,               53.0   ,          3   ,                        715   ,                       89   ,         1.025   ,               56.4   ,                  6903   ,
2024-07-25 11:38:07 ,          24.0   ,            400.0   ,           0.0   ,               52.0   ,          1   ,                        715   ,                       89   ,         1.062   ,               56.1   ,                  6904   ,
2024-07-25 11:38:08 ,         147.0   ,           1200.0   ,           0.0   ,               52.0   ,          3   ,                        715   ,                       90   ,         1.006   ,               56.4   ,                  7044   ,
2024-07-25 11:38:09 ,          75.0   ,           1200.0   ,           0.0   ,               53.0   ,          6   ,                        720   ,                       90   ,         0.918   ,               56.9   ,                  7058   ,
2024-07-25 11:38:10 ,          39.0   ,           1200.0   ,           0.0   ,               52.0   ,          2   ,                        720   ,                       90   ,         1.025   ,               56.5   ,                  7057   ,
2024-07-25 11:38:11 ,          29.0   ,           1200.0   ,           0.0   ,               52.0   ,          4   ,                        720   ,                       90   ,         1.006   ,               56.6   ,                  7058   ,
2024-07-25 11:38:12 ,          26.0   ,            400.0   ,           0.0   ,               52.0   ,          3   ,                        716   ,                       95   ,         1.137   ,               56.5   ,                  7059   ,
2024-07-25 11:38:13 ,          25.0   ,            400.0   ,           0.0   ,               52.0   ,          3   ,                        717   ,                       99   ,         1.025   ,               56.5   ,                  7057   ,
2024-07-25 11:38:14 ,          24.0   ,           1200.0   ,           0.0   ,               52.0   ,          3   ,                        717   ,                      101   ,         1.025   ,               56.8   ,                  7068   ,
2024-07-25 11:38:15 ,          24.0   ,           1200.0   ,           0.0   ,               52.0   ,         16   ,                        804   ,                      104   ,         1.000   ,               57.8   ,                  7101   ,
2024-07-25 11:38:16 ,          24.0   ,           1200.0   ,           8.0   ,               54.0   ,         10   ,                        806   ,                      104   ,         1.018   ,               58.0   ,                  7105   ,
2024-07-25 11:38:17 ,           7.0   ,           1200.0   ,         674.0   ,               55.0   ,          9   ,                        764   ,                      104   ,         1.043   ,               57.9   ,                  7096   ,
2024-07-25 11:38:18 ,          19.0   ,           1200.0   ,         202.0   ,               53.0   ,          3   ,                        733   ,                       95   ,         1.018   ,               58.3   ,                  7107   ,
2024-07-25 11:38:19 ,          37.0   ,           1200.0   ,          61.0   ,               54.0   ,          3   ,                        730   ,                       95   ,         1.000   ,               58.3   ,                  7106   ,
2024-07-25 11:38:20 ,          28.0   ,           1200.0   ,          18.0   ,               53.0   ,          8   ,                        737   ,                       95   ,         1.000   ,               58.5   ,                  7113   ,
2024-07-25 11:38:21 ,           8.0   ,           1200.0   ,           6.0   ,               53.0   ,          1   ,                        737   ,                       95   ,         0.712   ,               57.6   ,                  7090   ,
2024-07-25 11:38:22 ,          33.0   ,           1200.0   ,           2.0   ,               54.0   ,          2   ,                        719   ,                       95   ,         1.025   ,               57.8   ,                  7091   ,
2024-07-25 11:38:23 ,          41.0   ,           1200.0   ,           1.0   ,               54.0   ,          7   ,                        721   ,                      100   ,         1.068   ,               58.3   ,                  7057   ,
2024-07-25 11:38:24 ,          29.0   ,           1200.0   ,           0.0   ,               54.0   ,          1   ,                        721   ,                      100   ,         1.000   ,               58.3   ,                  7058   ,
2024-07-25 11:38:25 ,          26.0   ,           1200.0   ,           0.0   ,               53.0   ,          8   ,                        726   ,                      100   ,         1.000   ,               58.9   ,                  7058   ,
2024-07-25 11:38:26 ,          25.0   ,           1200.0   ,           0.0   ,               54.0   ,          1   ,                        726   ,                      100   ,         1.000   ,               68.3   ,                  7051   ,
2024-07-25 11:38:27 ,          24.0   ,           1200.0   ,           0.0   ,               55.0   ,          7   ,                        737   ,                      108   ,         1.012   ,               68.0   ,                  7086   ,
2024-07-25 11:38:28 ,          38.0   ,           1200.0   ,           0.0   ,               55.0   ,          4   ,                        739   ,                      109   ,         1.062   ,               68.0   ,                  7097   ,
2024-07-25 11:38:29 ,          28.0   ,           1200.0   ,           0.0   ,               56.0   ,          1   ,                        718   ,                      111   ,         1.000   ,               67.0   ,                  7128   ,
2024-07-25 11:38:30 ,          25.0   ,           1200.0   ,           0.0   ,               56.0   ,          1   ,                        718   ,                      110   ,         1.018   ,               67.6   ,                  7127   ,
2024-07-25 11:38:31 ,           7.0   ,           1200.0   ,           0.0   ,               56.0   ,          1   ,                        718   ,                      110   ,         1.037   ,               68.6   ,                  7125   ,
2024-07-25 11:38:32 ,           2.0   ,           1200.0   ,           0.0   ,               56.0   ,          1   ,                        718   ,                      110   ,         1.025   ,               69.3   ,                  7134   ,
2024-07-25 11:38:33 ,           0.0   ,           1200.0   ,           0.0   ,               57.0   ,          1   ,                        718   ,                      110   ,         1.025   ,               68.5   ,                  7147   ,
2024-07-25 11:38:34 ,           0.0   ,           1200.0   ,           0.0   ,               57.0   ,         23   ,                        770   ,                      111   ,         1.037   ,               68.6   ,                  7186   ,
2024-07-25 11:38:35 ,          17.0   ,           1200.0   ,           0.0   ,               59.0   ,         28   ,                        772   ,                      111   ,         1.000   ,               67.6   ,                  7201   ,
2024-07-25 11:38:36 ,          26.0   ,           1200.0   ,           0.0   ,               59.0   ,         32   ,                        779   ,                      113   ,         0.987   ,               67.6   ,                  7269   ,
2024-07-25 11:38:37 ,         147.0   ,           1200.0   ,           0.0   ,               59.0   ,         27   ,                        800   ,                      139   ,         0.925   ,               66.4   ,                  7328   ,
2024-07-25 11:38:38 ,         184.0   ,           1200.0   ,           0.0   ,               59.0   ,         27   ,                        800   ,                      139   ,         0.906   ,               64.9   ,                  7327   ,
